FID,School Name,Governance,Authorizer,Operator,Capacity,Count_2015,Grade_conf,Type,Open_Date,Label,MSTEP_2015,MSTEP_2016,MSTEP2015,MSTEP2016,Location
94,Covenant House Academy Detroit - East Site,Charter,Grand Valley State University,Youth Visions Solutions,0,0,9-12,High,9/26/2005, ,-,6.3,0,6.3,"7600 Goethe St
Detroit 48214
(42.363359, -83.0075250003)"
95,Osborn Evergreen Academy of Design and Alternative Energy,DPSCD, , ,630.333333,256,9-12,High,7/1/2009, ,2.7,1.7,2.7,1.7,"11600 E 7 Mile
Detroit 48205
(42.4337870004, -83.0035719996)"
189,Western International High School,DPSCD, , ,2367,1774,9-12,High,1/1/1900, ,8.0,8.5,8,8.5,"1500 Scotten Ave
Detroit 48209
(42.3190140001, -83.091883)"
96,Covenant House Academy Detroit - Southwest Site,Charter,Grand Valley State University,Youth Visions Solutions,0,0,9-12,High,9/26/2005, ,-,10.0,0,10,"1450 25th St
Detroit 48209
(42.320493, -83.0853160002)"
97,Palmer Park Preparatory Academy,DPSCD, , ,1115,480,K-8,Elementary/Middle,9/1/2001, ,4.4,5.6,4.4,5.6,"3901 Margareta
Detroit 48221
(42.4271730002, -83.138785)"
98,Covenant House Academy Detroit -Central Site,Charter,Grand Valley State University,Youth Visions Solutions,0,0,9-12,High,1/10/2006, ,8.7,5.0,8.7,5,"2959 Martin Luther King Jr Blvd
Detroit 48208
(42.3359460003, -83.0887660002)"
99,Pasteur Elementary School,DPSCD, , ,607,393,K-6,Elementary,1/1/1900, ,18.1,13.5,18.1,13.5,"19811 Stoepel St
Detroit 48221
(42.4383300003, -83.1430929999)"
100,Crockett Career and Technical Center,DPSCD, , ,0,0,9-12,CTC,#N/A, ,-,-,0,0,"571 Mack
Detroit 48201
(42.3509724647, -83.051784478)"
101,Pathways Academy Charter,DPSCD Charter,Detroit City School District,Innovation Educational Programs,0,290,7-12th,Middle/High,#N/A, ,-,8.7,0,8.7,"11340 E Jefferson
Detroit 48214
(42.3667869998, -82.9707270004)"
102,David Ellis Academy,DPSCD Charter,Detroit City School District,Bardwell Group,0,364,K-8,Elementary/Middle,11/3/1998, ,13.0,9.1,13,9.1,"18977 Schaefer
Detroit 48235
(42.4302469999, -83.1807730001)"
103,Pershing High School,EAA, , ,0,0,9-12,High,1/1/1900,Pershing,2.8,0.0,2.8,0,"18875 Ryan Rd
Detroit 48234
(42.4321909996, -83.0643219998)"
104,Davis Aerospace Technical High School at Golightly,DPSCD, , ,1071,152,9-12,High,1/1/1900, ,12.5,3.7,12.5,3.7,"900 Dickerson
Detroit 48234
(42.3699079999, -82.9512349999)"
105,Plymouth Educational Center,Charter,Central Michigan University,"HRE/Employees Only, Inc.",0,0,K-8,Elementary/Middle,9/5/1995, ,8.5,4.5,8.5,4.5,"1460 E Forest Ave
Detroit 48207
(42.3601969999, -83.0476370001)"
106,Davison Elementary-Middle School,DPSCD, , ,1051,658,K-8,Elementary/Middle,1/1/1900, ,28.8,21.5,28.8,21.5,"2800 E Davison St
Detroit 48212
(42.4120679997, -83.0689930002)"
107,Priest Elementary-Middle School,DPSCD, , ,1161,657,K-8,Elementary/Middle,1/1/1900, ,7.0,7.4,7,7.4,"7840 Wagner Ave
Detroit 48210
(42.3366640001, -83.143953)"
108,Denby High School,EAA, , ,0,0,9-12,High,1/1/1900,Denby,2.7,2.5,2.7,2.5,"12800 Kelly Rd
Detroit 48224
(42.4256229998, -82.9586589996)"
109,Pulaski Elementary-Middle School,DPSCD, , ,955,454,K-8,Elementary/Middle,1/1/1900, ,3.1,3.0,3.1,3,"19725 Strasburg St
Detroit 48205
(42.4413019998, -82.9991810004)"
110,Detroit Academy of Arts and Sciences,Charter,Oakland University,Self-managed,0,0,K-8,Elementary/Middle,9/2/1997, ,9.9,9.8,9.9,9.8,"2985 Jefferson Ave.
Detroit 48207
(42.3405759998, -83.0183599999)"
111,Randolph Career and Technical Center,DPSCD, , ,660,4,9-12,CTC,#N/A,Randolph CTC,-,-,0,0,"17101 Hubbell
Detroit 48235
(42.4175390002, -83.1914430002)"
112,Detroit Academy of Arts and Sciences Middle School,Charter,Oakland University,Self-managed,0,0,K-8,Elementary/Middle,9/1/2001, ,9.4,6.3,9.4,6.3,"3100 E Jefferson Ave
Detroit 48207
(42.340542, -83.018401)"
113,Regent Park Scholars Charter Academy,Charter,Lake Superior State University,National Heritage Academies,0,0,K-8,Elementary/Middle,9/6/2011, ,16.5,10.2,16.5,10.2,"15865 E. 7 Mile Rd.
Detroit 48205
(42.4360620001, -82.9575030003)"
114,Detroit Achievement Academy,Charter,Grand Valley State University,Expeditionary Learning,0,0,K-3,Elementary,7/1/2013, ,-,47.2,0,47.2,"7000 Outer Drive
Detroit 48223
(42.4200854, -83.2007772004)"
115,Renaissance High School,DPSCD, , ,1169,1155,9-12,High,1/1/1900, ,48.4,28.1,48.4,28.1,"6565 Outer Dr
Detroit 48235
(42.4181800001, -83.1949320001)"
116,Detroit Christian Schools of Excellence,Independent, ,Detroit Christian Schools of Excellence,0,0,K-12,All Grades,9/27/2013, ,-,-,0,0,"19370 Greenfield
Detroit 48235
(42.4315169346, -83.1978674974)"
117,Robeson / Malcolm X Academy,DPSCD, , ,750,371,K-8,Elementary/Middle,1/1/1900, ,9.0,6.6,9,6.6,"2585 Grove
Detroit 48221
(42.4146510001, -83.1274010003)"
118,West Side Academy of Information Technology and Cyber Security,DPSCD, , ,419,516,9-12,High,9/1/2001, ,2.5,5.6,2.5,5.6,"4701 McKinley
Detroit 48208
(42.3420989999, -83.1033019996)"
119,Rosa Parks Academy,Independent, , ,0,0,K-8,Elementary/Middle,4/18/2001, ,-,-,0,0,"8913 Westfield St
Detroit 48204
(42.363944, -83.1572109999)"
120,Detroit Collegiate Preparatory High School at Northwestern,DPSCD, , ,1835,561,9-12,High,1/1/1900, ,4.5,1.6,4.5,1.6,"2200 West Grand Blvd
Detroit 48208
(42.3583059999, -83.1030650003)"
121,Ross-Hill Academy-Elementary,DPSCD Charter,Detroit City School District,777 Management Company,0,138,K-8,Elementary/Middle,11/3/1998, ,10.5,12.6,10.5,12.6,"3111 Elmwood St
Detroit 48207
(42.3564180001, -83.0259320002)"
122,Detroit Community Schools-Elementary,Charter,Bay Mills Community College,Midwest Management,0,0,K-8,Elementary/Middle,9/1/2005, ,11.0,7.5,11,7.5,"12675 Burt Rd
Detroit 48223
(42.3804050001, -83.2473940002)"
123,Rutherford Winans Academy,DPSCD Charter,Detroit City School District,Solid Rock,0,209,K-8,Elementary/Middle,9/1/2001, ,14.1,8.6,14.1,8.6,"16411 Curtis St
Detroit 48235
(42.422545, -83.2097859998)"
124,Detroit Community Schools-High School,Charter,Bay Mills Community College,Midwest Management,0,0,9-12,High,6/2/1997, ,10.0,0.9,10,0.9,"12675 Burt Rd
Detroit 48223
(42.3804050001, -83.2473940002)"
125,Ryan Correctional Facility,MDOC, , ,0,0,Adult,Alternative,#N/A, ,-,-,0,0,"17600 Ryan Rd
Detroit 48212
(42.4223920001, -83.0623359999)"
126,Detroit Cristo Rey High School,Independent, , ,0,0,9-12,High,8/28/2008, ,-,-,0,0,"5679 Vernor Hwy
Detroit 48209
(42.3167530002, -83.102609)"
127,Sampson-Webber Academy,DPSCD, , ,1101,299,K-8,Elementary/Middle,1/1/1900, ,2.9,2.3,2.9,2.3,"4700 Tireman
Detroit 48204
(42.3538539997, -83.1184419999)"
128,Detroit Delta Preparatory Academy for Social Justice,Charter,Ferris State University,Equity Education Management Solutions,0,0,9-10th,High,#N/A, ,-,1.8,0,1.8,"3550 John C. Lodge Fwy
Detroit 48201
(42.344246, -83.0673469999)"
129,Schulze Academy of Technology and Arts,DPSCD, , ,749,492,K-8,Elementary/Middle,1/1/1900, ,5.4,3.9,5.4,3.9,"10700 Santa Maria
Detroit 48221
(42.4189299996, -83.1682730001)"
130,Detroit Edison Public School Academy,Charter,Oakland University,New Paradigm for Education,0,0,K-12,All Grades,9/18/1998, ,42.0,44.5,42,44.5,"1903 Wilkins
Detroit 48207
(42.3516790001, -83.0375610004)"
131,Southeastern High School,EAA, , ,0,0,9-12,High,1/1/1900,Southeastern,2.8,1.0,2.8,1,"3030 Fairview St
Detroit 48214
(42.3747710002, -82.9784290003)"
132,Detroit Enterprise Academy,Charter,Grand Valley State University,National Heritage Academies,0,0,K-8,Elementary/Middle,8/24/2004, ,21.5,19.2,21.5,19.2,"11224 Kercheval
Detroit 48214
(42.3685949996, -82.972807)"
133,Southwest Detroit Community School,Charter,Grand Valley State University,"Lighthouse Academies, Inc",0,0,K-7,Elementary/Middle,7/1/2013, ,16.0,15.3,16,15.3,"4001 29th St
Detroit 48210
(42.3346039996, -83.1095259997)"
134,Detroit Innovation Academy,Charter,Central Michigan University,YMCA Education Services,0,0,K-8,Elementary/Middle,7/1/2012, ,5.6,7.8,5.6,7.8,"18211 Plymouth Rd.
Detroit 48228
(42.3704650004, -83.2180220001)"
135,Spain Elementary-Middle School,DPSCD, , ,693,434,K-8,Elementary/Middle,1/1/1900, ,5.9,7.1,5.9,7.1,"3700 Beaubien St
Detroit 48201
(42.3514300003, -83.0523259996)"
136,Cody - Detroit Institute of Technology College Prep High School,DPSCD, , ,0,0,9-12,High,7/1/2009, ,5.4,1.7,5.4,1.7,"18445 Cathedral
Detroit 48228
(42.3607799998, -83.2212329998)"
137,Stewart Elementary,EAA Charter,Education Achievement System-EAS,Performance Academies,0,0,K-8,Elementary/Middle,1/1/1900, ,5.9,10.3,5.9,10.3,"13120 Wildemere St
Detroit 48238
(42.3897388743, -83.124907741)"
138,Detroit International Academy for Young Women,DPSCD, , ,1303,394,K-12,All Grades,8/1/2009, ,7.9,6.2,7.9,6.2,"9026 Woodward
Detroit 48202
(42.3826629999, -83.0807300001)"
139,Tawheed Center of Detroit School,Independent, , ,0,0,K-8,Elementary/Middle,10/1/2001, ,-,-,0,0,"18624 W Warren Ave
Detroit 48228
(42.343506, -83.2225510003)"
140,Detroit Leadership Academy Elementary,Charter,Central Michigan University,Y Educational Services,0,0,K-8,Elementary/Middle,9/7/2010, ,7.7,8.2,7.7,8.2,"13550 Virgil
Detroit 48223
(42.3843739997, -83.2707249997)"
141,Temple of Faith Baptist School,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"9351 Forrer St
Detroit 48228
(42.3645449999, -83.2008240002)"
142,Detroit Leadership Academy Middle/High,Charter,Central Michigan University,Y Educational Services,0,0,K-12,All Grades,7/1/2013, ,2.5,5.6,2.5,5.6,"13550 Virgil St
Detroit 48223
(42.3844460003, -83.2708000004)"
143,The James and Grace Lee Boggs School,Charter,Eastern Michigan University,Nataki Educaitonal Services,0,0,K-5,Elementary,7/1/2013, ,21.2,20.5,21.2,20.5,"4141 Mitchell St
Detroit 48207
(42.3608680003, -83.0329760003)"
144,Detroit Merit Charter Academy,Charter,Grand Valley State University,National Heritage Academies,0,0,K-8,Elementary/Middle,10/10/2002, ,28.1,32.4,28.1,32.4,"1091 Alter Rd
Detroit 48215
(42.3759529998, -82.9408520004)"
145,Thirkell Elementary-Middle School,DPSCD, , ,619,645,K-8,Elementary/Middle,1/1/1900, ,5.5,5.2,5.5,5.2,"7724 14th St
Detroit 48206
(42.3665899997, -83.096719)"
146,Detroit Premier Academy,Charter,Grand Valley State University,National Heritage Academies,0,0,K-8,Elementary/Middle,8/31/2005, ,13.2,21.6,13.2,21.6,"7781 Asbury Park
Detroit 48228
(42.3496340002, -83.2064810003)"
147,Timbuktu Academy of Science and Technology,DPSCD Charter,Detroit City School District,Self-managed,0,347,K-12,All Grades,9/8/1997, ,8.3,6.2,8.3,6.2,"10800 E. Canfield
Detroit 48214
(42.3806580001, -82.9858479998)"
148,Detroit Public Safety Academy,Charter,Eastern Michigan University,Leona Group,0,0,7-12th,Middle/High,7/1/2013, ,7.4,4.4,7.4,4.4,"1250 Rosa Parks Blvd.
Detroit 48216
(42.3250670004, -83.0676310004)"
149,Trix Elementary,EAA Charter,Education Achievement System-EAS,Performance Academies,0,0,K-8,Elementary/Middle,1/1/1900, ,7.7,10.2,7.7,10.2,"13700 Bringard Dr
Detroit 48205
(42.4453599999, -82.983766)"
150,Detroit School of Arts,DPSCD, , ,1296,495,9-12,High,1/1/1900, ,11.1,4.0,11.1,4,"123 Selden St
Detroit 48201
(42.3486709999, -83.0608899998)"
151,Turning Point Academy,DPSCD, , ,619,65,K-12,All Grades,7/1/2007, ,-,7.7,0,7.7,"12300 Linnhurst St
Detroit 48205
(42.4303700002, -82.9989719998)"
152,Detroit Service Learning Academy,Charter,Lake Superior State University,Elite School Management,0,0,K-8,Elementary/Middle,9/1/1999, ,10.1,8.5,10.1,8.5,"21605 W 7 Mile Rd.
Detroit 48219
(42.4283660004, -83.2564820002)"
153,"Banks, Diann Williamson Center",DPSCD, , ,0,71,9-12,High,7/1/2004, ,-,-,0,0,"5020 Cadieux
Detroit 48224
(42.4078510004, -82.9289229998)"
154,Universal Academy,Charter,Oakland University,"Hamadeh Educational Services, Inc.",0,0,K-12,All Grades,11/3/1998, ,20.4,9.0,20.4,9,"4833 Ogden St
Detroit 48210
(42.3280700004, -83.1455610004)"
155,Dixon Educational Learning Academy,DPSCD, , ,914,507,K-8,Elementary/Middle,1/1/1900, ,7.1,4.2,7.1,4.2,"8401 Trinity
Detroit 48228
(42.3545910004, -83.2478739999)"
156,University of Detroit Jesuit High School Academy,Independent, , ,0,0,7-12,High,1/1/1900, ,-,-,0,0,"8400 S Cambridge Ave
Detroit 48221
(42.4327949996, -83.1543189996)"
157,Dossin Elementary-Middle School,DPSCD, , ,489,364,K-8,Elementary/Middle,1/1/1900, ,3.0,4.9,3,4.9,"16650 Glendale
Detroit 48227
(42.3825229997, -83.2108280002)"
158,University Preparatory Academy (PSAD) - Elementary,Charter,Grand Valley State University,Detroit 90/90,0,0,K-5,Elementary,7/1/2008, ,24.6,15.6,24.6,15.6,"957 Holden St
Detroit 48202
(42.3618860004, -83.0772650004)"
159,Douglass Academy for Young Men,DPSCD, , ,1302,165,K-12,All Grades,1/1/1900, ,3.1,6.1,3.1,6.1,"2001 W Warren Ave
Detroit 48208
(42.3493329998, -83.0837479999)"
160,University Preparatory Academy (PSAD) - Middle,Charter,Grand Valley State University,Detroit 90/90,0,0,6-8th,Middle,7/1/2008, ,18.9,14.4,18.9,14.4,"5310 St. Antoine
Detroit 48202
(42.3624110004, -83.0579099999)"
161,Dove Academy of Detroit,Charter,Oakland University,Choice Schools,0,0,K-8,Elementary/Middle,8/25/1997, ,16.0,20.0,16,20,"20001 Wexford St
Detroit 48234
(42.4414969998, -83.0664400003)"
162,University Preparatory Academy (PSAD) Elementary,Charter,Grand Valley State University,Detroit 90/90,0,0,K-5,Elementary,9/2/2008, ,26.0,21.1,26,21.1,"435 Amsterdam
Detroit 48202
(42.3655290003, -83.0730670001)"
163,Durfee Elementary-Middle School,DPSCD, , ,1561,472,K-8,Elementary/Middle,1/1/1900, ,4.7,4.1,4.7,4.1,"2470 Collingwood
Detroit 48206
(42.3820480003, -83.1107749998)"
164,University Preparatory Academy (PSAD)-High School,Charter,Grand Valley State University,Detroit 90/90,0,0,9-12,High,7/1/2008, ,16.7,13.0,16.7,13,"600 Antoinette
Detroit 48202
(42.3627699998, -83.0745540004)"
165,Earhart Elementary-Middle School,DPSCD, , ,1064,670,K-8,Elementary/Middle,8/1/2011, ,5.3,6.0,5.3,6,"1000 Scotten Ave
Detroit 48209
(42.316047, -83.0895739996)"
166,University Preparatory Science and Math - Elementary,Charter,Grand Valley State University,Detroit 90/90,0,0,K-5,Elementary,8/19/2013, ,22.5,22.4,22.5,22.4,"2251 Antietam Rd
Detroit 48207
(42.34805, -83.0314199996)"
167,East English Village Preparatory Academy,DPSCD, , ,1408,1606,9-12,High,7/1/2012, ,3.0,1.2,3,1.2,"17200 Southampton St
Detroit 48224
(42.4080499997, -82.9292169999)"
168,University Preparatory Science and Math (PSAD) High School,Charter,Grand Valley State University,Detroit 90/90,0,0,9-12,High,9/7/2010, ,16.1,15.4,16.1,15.4,"2664 Franklin
Detroit 48207
(42.3370740002, -83.0203069998)"
169,Detroit Lions Academy,DPSCD, , ,0,0,6-8th,Middle,9/1/2001, ,2.5,3.2,2.5,3.2,"10101 E Canfield
Detroit 48214
(42.3788520004, -82.9935659996)"
170,University Preparatory Science and Math (PSAD) Middle School,Charter,Grand Valley State University,Detroit 90/90,0,0,6-8th,Middle,9/2/2008, ,26.1,28.7,26.1,28.7,"5100 John R Rd
Detroit 48202
(42.3590839998, -83.0623119997)"
171,Edison Elementary School,DPSCD, , ,476,267,K-8,Elementary/Middle,1/1/1900, ,38.4,3.9,38.4,3.9,"17045 Grand River Ave
Detroit 48227
(42.3980449997, -83.2133280004)"
172,University Yes Academy,Charter,Bay Mills Community College,New Paradigm for Education,0,0,K-8,Elementary/Middle,9/7/2010, ,6.7,4.6,6.7,4.6,"14669 Curtis St
Detroit 48235
(42.4228070003, -83.1918160003)"
173,Ellington Conservatory of Music & Art at Beckham Academy,DPSCD, , ,1069,632,K-8,Elementary/Middle,1/1/1900, ,3.7,2.7,3.7,2.7,"9860 Park Drive
Detroit 48213
(42.4081810004, -82.9794919999)"
174,Vernor Elementary School,DPSCD, , ,428,226,K-6,Elementary,1/1/1900, ,8.1,7.0,8.1,7,"13726 Pembroke Ave
Detroit 48235
(42.4386630004, -83.1825409998)"
175,Emerson Elementary-Middle School,DPSCD, , ,1586,594,K-8,Elementary/Middle,1/1/1900, ,4.7,4.2,4.7,4.2,"18240 Huntington Rd
Detroit 48219
(42.423268, -83.2326029998)"
176,Voyageur Academy,Charter,Ferris State University,American Promise Schools,0,0,K-6,Elementary/Middle,8/19/1998, ,11.4,16.3,11.4,16.3,"4321 Military Street
Detroit 48210
(42.332331, -83.1201850002)"
177,Escuela Avancemos,DPSCD Charter,Detroit City School District,"Sanga Consulting, Inc.",0,240,K-8,Elementary/Middle,7/1/2012, ,4.3,5.2,4.3,5.2,"3811 Cicotte St
Detroit 48210
(42.3281090004, -83.1221140002)"
178,Voyageur College Prep,Charter,Ferris State University,American Promise Schools,0,0,7-12th,Middle/High,9/1/2002, ,2.7,7.4,2.7,7.4,"4366 Military
Detroit 48210
(42.3328670004, -83.1195590001)"
179,Evergreen Lutheran School,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"8680 Evergreen Ave
Detroit 48228
(42.3566429997, -83.2356439998)"
180,Detroit Waldorf School,Independent, , ,0,0,K-8,Elementary/Middle,1/1/1900, ,-,-,0,0,"2555 Burns Ave
Detroit 48214
(42.3644059997, -82.9978140003)"
181,"Field, Moses",DPSCD, , ,293,103,K-8,Elementary/Middle,9/1/2001, ,-,-,0,0,"1100 Sheridan St
Detroit 48214
(42.3524840003, -83.0014210003)"
182,Warrendale Charter Academy,Charter,Grand Valley State University,National Heritage Academies,0,0,K-8,Elementary/Middle,9/1/2001, ,13.1,9.6,13.1,9.6,"19400 Sawyer Streeet
Detroit 48228
(42.3475890003, -83.2303179997)"
183,Fisher Magnet Lower Academy,DPSCD, , ,1088,584,K-4,Elementary,7/1/2002, ,4.2,4.4,4.2,4.4,"15510 E State Fair Ave
Detroit 48205
(42.4422480002, -82.9616970003)"
184,W-A-Y Academy - Chicago Site,Charter,Lake Superior State University,WAY - Widening Advancement for Youth,0,0,K-12,All Grades,7/1/2013, ,4.6,7.1,4.6,7.1,"19321 W Chicago St
Detroit 48228
(42.3638999998, -83.230287)"
185,Fisher Magnet Upper Academy,DPSCD, , ,866,451,5-8,Middle,8/18/2003, ,2.9,2.7,2.9,2.7,"15491 Maddelein Street
Detroit 48205
(42.4372600004, -82.9618239999)"
186,W-A-Y Academy - Vernor Site,Charter,Lake Superior State University,WAY - Widening Advancement for Youth,0,0,9-12,High,7/1/2012, ,7.9,5.9,7.9,5.9,"8701 Vernor Hwy
Detroit 48209
(42.3090599997, -83.1327460003)"
187,Flagship Charter Academy,Charter,Central Michigan University,National Heritage Academies,0,0,K-8,Elementary/Middle,9/4/2007, ,18.9,13.7,18.9,13.7,"13661 Wisconsin
Detroit 48238
(42.3881110002, -83.1565550002)"
188,Wayne Elementary School,DPSCD, , ,606,282,K-5,Elementary,1/1/1900, ,5.6,5.3,5.6,5.3,"10633 Courville
Detroit 48224
(42.4156310004, -82.9562570004)"
190,Weston Preparatory Academy,Charter,Oakland University,CS Partners,0,0,K-8,Elementary/Middle,9/1/1998, ,15.2,13.1,15.2,13.1,"22930 Chippewa
Detroit 48219
(42.4390540004, -83.2701700001)"
191,Ford High School,EAA, , ,0,0,9-12,High,1/1/1900,Ford,2.3,3.1,2.3,3.1,"20000 Evergreen Rd
Detroit 48219
(42.4393299997, -83.2375339997)"
192,Foreign Language Immersion and Cultural Studies,DPSCD, , ,1037,698,K-8,Elementary/Middle,1/1/1900, ,22.7,22.7,22.7,22.7,"6501 W Outer Drive
Detroit 48235
(42.4193459999, -83.1910819997)"
